Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,768.05,213.0,Unknown,,,UNREGISTERED
1,770.85,180.0,Unknown,,,UNREGISTERED
1,772.09,162.0,Unknown,,,UNREGISTERED
1,773.02,245.0,Unknown,,,UNREGISTERED
1,778.28,1358.0,Unknown,,,UNREGISTERED
1,780.76,174.0,Unknown,,,UNREGISTERED
1,784.15,191.0,Unknown,,,UNREGISTERED
1,785.38,243.0,Unknown,,,UNREGISTERED
1,786.0,324.0,Unknown,,,UNREGISTERED
1,787.54,722.0,Unknown,,,UNREGISTERED
1,789.69,378.0,Unknown,,,UNREGISTERED
1,791.23,247.0,Unknown,,,UNREGISTERED
1,792.76,457.0,Unknown,,,UNREGISTERED
1,793.68,416.0,Unknown,,,UNREGISTERED
1,794.6,451.0,Unknown,,,UNREGISTERED
1,796.13,162.0,Unknown,,,UNREGISTERED
1,796.74,222.0,Unknown,,,UNREGISTERED
1,825.58,188.0,Unknown,,,UNREGISTERED
1,827.08,206.0,Unknown,,,UNREGISTERED
1,827.68,190.0,Unknown,,,UNREGISTERED
1,839.66,216.0,Unknown,,,UNREGISTERED
1,842.04,176.0,Unknown,,,UNREGISTERED
1,845.91,241.0,Unknown,,,UNREGISTERED
1,846.51,286.0,Unknown,,,UNREGISTERED
1,847.99,162.0,Unknown,,,UNREGISTERED
1,853.62,167.0,Unknown,,,UNREGISTERED
1,856.28,265.0,Unknown,,,UNREGISTERED
1,868.33,182.0,Unknown,,,UNREGISTERED
